epoch,accuracy,loss,val_accuracy,val_loss
0,0.9202592372894287,0.2615986466407776,0.9738333225250244,0.09364432096481323
1,0.9680185317993164,0.10666059702634811,0.9646666646003723,0.12774701416492462
2,0.9761296510696411,0.0790223777294159,0.9766666889190674,0.0860857143998146
3,0.9812777638435364,0.06190696358680725,0.9798333048820496,0.0752217099070549
4,0.9838703870773315,0.05180632695555687,0.9766666889190674,0.09338320791721344
5,0.9866296052932739,0.04439418017864227,0.981333315372467,0.08475547283887863
6,0.9893333315849304,0.03549810126423836,0.9800000190734863,0.09703545272350311
7,0.9886666536331177,0.03683337941765785,0.9823333621025085,0.08656027913093567
8,0.991351842880249,0.028988279402256012,0.9850000143051147,0.08872460573911667
9,0.9915370345115662,0.028654418885707855,0.9810000061988831,0.09392742812633514
10,0.9920555353164673,0.0280742384493351,0.984499990940094,0.09408753365278244
11,0.9928333163261414,0.0245914775878191,0.9796666502952576,0.11786631494760513
12,0.9934074282646179,0.02413899265229702,0.9826666712760925,0.12012135982513428
13,0.993925929069519,0.021681541576981544,0.981166660785675,0.12155316025018692
14,0.9942777752876282,0.01912902295589447,0.9823333621025085,0.1124967634677887
15,0.9943333268165588,0.019001370295882225,0.9829999804496765,0.11224255710840225
16,0.9951296448707581,0.017420340329408646,0.981166660785675,0.1364128589630127
17,0.9955000281333923,0.01719488389790058,0.9828333258628845,0.12813425064086914
18,0.9954814910888672,0.016352705657482147,0.9848333597183228,0.12475631386041641
19,0.9947407245635986,0.018512660637497902,0.9850000143051147,0.1359415501356125
